¹;"×ÑÑmin, óä./ìèí.";"×ÑÑmax, óä./ìèí.";"×ÑÑavg, óä./ìèí.";"Ñòðåññ ÍÑ, %";"SDNN, ìñ";"ÈÍ, ó.å.";"Mo, ìñ";"RMSSD, ìñ";"NN50, ïàð";"pNN50, %";"HF, ìñ?/Ãö";"TP, ìñ?/Ãö";"LF, ìñ?/Ãö";"LF/HF, ó.å.";"VLF, ìñ?/Ãö";Äàòà îáñëåäîâàíèÿ
15;43;94;60;"71,8";"206,4";"6,5";920;"167,5";152;"69,1";9743;42578;8598;"0,88";24237;10.08.2026 8:33
16;56;87;68;47;"84,7";"32,3";840;88;135;"54,9";2649;6627;1900;"0,72";2078;08.08.2026 9:17
17;49;88;65;"65,1";"115,8";"17,5";840;"122,3";386;"66,2";6871;10769;2073;"0,3";1824;07.08.2026 8:47
18;63;97;77;47;69;"48,3";760;"55,3";135;"35,6";1168;4837;1770;"1,52";1900;06.08.2026 8:45
19;63;91;73;"62,2";"56,7";"61,3";760;"44,3";120;"26,6";1141;2629;644;"0,56";844;05.08.2026 9:09
20;52;88;64;"47,6";"88,6";"21,1";920;"82,6";314;"58,1";3538;7238;1362;"0,38";2338;04.08.2026 8:39
21;56;95;70;"40,9";"94,6";"23,8";840;"67,3";136;"41,7";1527;8717;3545;"2,32";3645;03.08.2026 8:54
22;58;93;72;"83,9";"95,2";24;840;"51,2";117;"32,9";1488;4270;1199;"0,81";1583;24.06.2026 8:37
23;69;106;84;"26,5";"65,4";"59,6";680;37;67;16;341;4210;2605;"7,65";1264;22.06.2026 8:26
24;42;74;54;"55,1";"139,2";"7,5";1160;"147,4";347;"75,8";8920;17255;3917;"0,44";4418;22.05.2026 6:53
25;39;65;48;"46,8";"178,8";"6,6";1400;"233,4";180;"81,4";13418;26509;7131;"0,53";5961;16.05.2026 6:47
26;49;75;60;53;"104,5";"26,1";920;"119,2";212;"68,4";7263;10684;1554;"0,21";1866;07.05.2026 8:25
27;44;65;53;"13,3";"117,3";13;1120;"150,8";156;"76,5";7642;11819;2957;"0,39";1220;06.05.2026 6:57
28;49;71;57;"41,5";"102,2";"21,9";960;"111,9";180;"64,7";4696;9571;2608;"0,56";2268;05.05.2026 6:52
29;42;68;52;"36,7";"148,6";"8,2";1160;"181,8";168;80;10070;19138;4676;"0,46";4392;30.04.2026 7:29
30;42;111;58;"50,2";"174,6";"12,4";920;"197,6";70;"76,9";13405;27574;6523;"0,49";7647;06.04.2026 6:51
31;39;70;48;"41,4";191;"5,2";1360;"255,4";271;"84,7";17597;29332;6689;"0,38";5046;30.03.2026 6:49
32;41;79;54;"48,2";"170,4";"9,1";920;"197,7";406;"79,3";12653;25125;5726;"0,45";6746;24.03.2026 6:59
33;40;71;51;"42,5";"178,7";"9,7";920;"225,6";573;"83,9";13863;26835;7518;"0,54";5455;23.03.2026 6:48
34;43;82;55;"67,1";161;"8,2";960;"172,3";224;"78,3";9968;23415;3283;"0,33";10163;18.03.2026 6:54
35;41;93;56;"56,7";"217,1";"6,4";920;"204,7";181;79;12269;43328;5955;"0,49";25104;17.03.2026 6:54
36;44;71;58;36;"149,6";"16,2";920;"188,8";122;"74,8";7616;18209;4900;"0,64";5693;16.03.2026 7:12
37;46;83;59;"54,3";"146,2";"16,2";920;"157,6";156;"72,2";7845;19372;4611;"0,59";6916;13.03.2026 6:50
38;43;71;54;"50,7";"141,6";"11,3";1000;"153,8";232;"80,3";12493;19464;2544;"0,2";4427;11.03.2026 6:54
39;49;99;67;"54,3";"147,9";11;840;"132,3";148;"57,1";6408;21197;4745;"0,74";10043;10.03.2026 6:55
40;42;82;55;"56,8";"170,3";"6,9";960;"166,3";245;"75,9";11715;28193;5321;"0,45";11157;07.03.2026 6:48
41;45;79;57;"27,4";"137,1";"16,3";920;160;190;"72,5";7759;16650;3779;"0,49";5112;05.03.2026 10:17
42;41;83;55;"60,1";"194,5";"5,9";960;"187,5";193;"75,1";11106;35232;7336;"0,66";16790;04.03.2026 6:39
43;44;93;62;"65,5";146;"11,7";920;"136,3";577;"65,4";7035;18939;3611;"0,51";8294;03.03.2026 6:49
44;42;87;57;"68,4";"207,1";"6,3";1000;165;156;"60,9";9889;41356;5124;"0,52";26343;02.03.2026 6:58
45;44;83;58;"48,7";"153,3";"13,9";920;"172,1";261;"73,5";9540;19587;5831;"0,61";4216;27.02.2026 6:48
46;49;82;63;"54,4";"115,4";"19,4";920;"99,5";180;"60,4";4198;12148;3338;"0,8";4612;26.02.2026 8:28
47;41;100;56;"61,3";"233,5";5;1040;"173,4";161;"68,8";10289;51577;8000;"0,78";33287;25.02.2026 6:42
